"Law Firm","Title","Location","Website","Description"
"Simcocks Advocates","Private Client Solicitor/Advocate","Douglas","https://uk.indeed.com/rc/clk?jk=d8cd4270c927b0b0&bb=OqMEzja4PbfPkso8ec8h8SFEXLaRvCgExIb2apVz_oWhcZoes7HUONyrKaAdJX_njkzpPCx8oRYJhAGe7iWsPmnt_UHm6gwhkBF8ddlU1zPtDoUAcLoImMSwJ8Zj_S-q&xkcb=SoAy67M37mVDt3WXYx0LbzkdCdPP&fccid=528130fbbb816284&vjs=3","Simcocks are seeking a Private Client Solicitor/Advocate to join their team in Douglas, Isle of Man. The ideal candidate will possess a minimum of at least 3 years’ PQE, will have experience in probate, wills and powers of attorney, and will have excellent people skills. This is an excellent opportunity to join a highly regarded firm on the Isle of Man. Simcocks was established in 1949 and is ranked in the Top Tier by Legal 500 and Band 1 by Chambers & Partners. The position is offered with a competitive salary, private medical insurance, pension, generous holidays and an opportunity to progress your career in a well regarded international financial centre at a law firm that promotes a good work/life balance. If you would like to discuss this opportunity further, please contact Nicola Quayle on nquayle@simcocks.com. We look forward to hearing from you."
"Lyons Davidson Solicitors","Private Client Solicitor/Legal Executive","Bristol","https://uk.indeed.com/rc/clk?jk=5872c0f5c6edcd14&bb=OqMEzja4PbfPkso8ec8h8Q8i2ymZBK7zeIuJZTLFhzYP34vG_XsHs3NooTYQoyGbyPxT4A-JkraY_YneVdRPZhGeUvx2GxFJT5-TEUqWKqPh69q7JFJUdlEhMnKEmgZl&xkcb=SoCG67M37mVDt3WXYx0KbzkdCdPP&fccid=317f86e74c61c26b&vjs=3","We have a very exciting opportunity for a qualified Solicitor or Legal Executive (3-5 years PQE) to join our Private Client department on a full-time basis. The role will consist of independently running a caseload as well as assisting the Partner with complex cases. It will also involve some active participation in both practice and business development. The successful candidate will be personable, enthusiastic, self-motivated, adaptable and have experience of all aspects of non-contentious Private Client work. Being well organised with the ability to prioritise workloads and having excellent communications skills is essential. They will need to be able to work particularly well in a close knit and highly motivated team and be willing to contribute toward departmental initiatives and activities. Advising clients on all aspects of Private Client matters including, but not limited to: Wills including providing appropriate tax and estate planning advice; Administering estates including taxable and non-taxable estates and applying appropriate tax reliefs and providing advice regarding post-death planning; The creation and registration (where appropriate) of different Powers of Attorney. The creation and registration of different types of Trusts (including PI Compensation Trusts). Tax and trusts knowledge and expertise; Non-contentious Private Client knowledge; Excellent organisational skills; Excellent communication skills; A passion for business development and a willingness to develop new ideas and working practices. A proactive approach to your work and a willingness and ability to use your own initiative; Ability to work to deadlines; Ability to remain calm under pressure. Previous experience of running a private client caseload with limited supervision. Qualified Solicitor, Legal Executive or equivalent. This role would be based in our Bristol office, with a combination of home and office working (typically working 2 days in the Bristol city centre office and 3 days from home). You would therefore need the infrastructure in place to work from home and will be provided with a company laptop. Lyons Davidson is a national law firm providing legal services to businesses and individuals. We pride ourselves on the level of service our experts offer. Our ability to deliver a consistent and high-quality service has allowed us to develop strong relationships with a number of business partners such as insurers, banks and membership organisations that rely on us to give their customers and members the help and advice they need."
"Hatch Brenner LLP","Private Client Solicitor / FILEX","Norwich","https://uk.indeed.com/rc/clk?jk=1baa543fe5ebd6e5&bb=OqMEzja4PbfPkso8ec8h8aaf4p7TnMqy9NcKmWjdvyw0RdSZ89behbI8QUfIawmzXrtPNJJNfR34lsPbyN7IbD4DjQKcRyEdliE8YrUBpFu8SDzNNAprlOOm9GwEpEMX&xkcb=SoAb67M37mVDt3WXYx0JbzkdCdPP&fccid=baab8dae5ca2a1f1&vjs=3","Private Client Solicitor This is an opportunity for an enthusiastic and motivated solicitor 2yr PQE or a qualified legal executive with an ambition to work in our we respected private client department. This full-time role will require undertaking fee-earning work, working both independently and as a member of the team, maintaining existing relations with the firms clients and assisting and helping develop new relationships with third-party referrers. The Role To undertake fee-earning work, working both independently and as a member of the team and providing a profitable contribution to the work of the department. To maintain existing relations with the firms clients and assist and help develop new relationships with third-party referrers. Conduct private client and related matters, on behalf of clients. Drafting of Wills, Trusts, Lasting Powers of Attorney and dealing with Trust and Estate Administration."
"Aletta Shaw Solicitors","Trainee Solicitor","London","https://uk.indeed.com/rc/clk?jk=80816418e573fe66&bb=OqMEzja4PbfPkso8ec8h8Yyfg0TwU-0dfD3YEZHDXhrW2UlUeGv8d056Caz6clgmj9SdqZcfmjEWRTOd7mVminFLcxJXjUJ21qvidwLIgF3ERUSUBA5blwK5cMfcZzVZ&xkcb=SoCv67M37mVDt3WXYx0IbzkdCdPP&fccid=8e1631f0cd66f225&vjs=3","Training Contracts Applications Now Open Role Job Title epartment Reports to Salary Trainee Solicitor 3 – 4 Seats across the Family, Private Client, Property and Litigation teams Rachel uke – Training Principal Law Society Recommended Specification Knowledge/Qualifications Required Good academic record egree, preferably 2:1 or higher Passed all necessary law exams Skills/Abilities/Personal Qualities Required Good organisation and ability to prioritise Confident communicator, both verbally and in writing Ability to work as part of a team Attention to detail, particularly with grammar, spelling and punctuation Enthusiastic Proactive and able to take initiative Empathetic Ability to work under pressure Commercial awareness The ability and willingness to travel to all offices esired Experience Prior legal experience, preferably in private practice Prior experience of working in a commercial environment Prior experience of working with the public"
"fbc manby bowdler","Private Client Solicitor","Hybrid work in Shrewsbury","https://uk.indeed.com/rc/clk?jk=4a9b6bb39c47794c&bb=OqMEzja4PbfPkso8ec8h8WD0O9LjtXOM_OWL0hMpuUPxv-cUeRK193JuZmeAxIQo5oKelIvWNJbyBEr0D2-JkQ9QmuxrG8oxIpsc8_UgjWLlD7S6tDoRR8OjKrPR6j3g&xkcb=SoAh67M37mVDt3WXYx0PbzkdCdPP&fccid=750934d92c89df1e&vjs=3","We are looking to recruit two Solicitors to join our exceptional teams dealing with wills, probate and private client matters. The roles are based from Telford and Shrewsbury, although we operate a hybrid work model. For the role in Shrewsbury, experience is preferable with agricultural clients. Working as part of the Private Client team you will ideally have a proven track record of providing excellent client care and meeting billing targets. Previous private client experience is essential, we will review candiates from 2 years PQE up. We are a firm that puts our people first, you can expect: Focused career development. We have an active career management plan in place, and support the growth and career aspirations of our people. Regular, structured performance and career conversations. Flexible working between home and office. We offer paid maternity leave, adoption leave and paternity leave. We have a full menopause policy. We support employees undergoing IVF or fertility treatment. RewardHub+ retail discounts for our employees, along with access to online gym sessions, wellbeing, Employee Assistance Programme, financial wellbeing and more. We fund eye care, dental care, specialist consultations, physio therapy and more via our expenses system."
"Taylor Rose","Solicitor- Private Client","Wallington","https://uk.indeed.com/rc/clk?jk=54d638342aae0224&bb=OqMEzja4PbfPkso8ec8h8YV42WmXJJItNPir-XSOVkypZtd6W6NsZ7BVocItWLjq1yA3CoddWaJVx_0mAlyb_5LhYKr6zRWyK3QMd4p-6uxL7gFVdtcOla5WGYK1ivdv&xkcb=SoCV67M37mVDt3WXYx0ObzkdCdPP&fccid=ae6a0a9675c56095&vjs=3","This role involves but is not limited to: Effective management of own time, ensuring that chargeable and non-chargeable hours targets are met. Working on files as appropriate, including drafting letters, collating evidence and preparing cost letters. Dealing with new Clients and liaising with regards to the initial enquiries. Managing legal documentation in strict confidence. Attending Client meetings, taking instructions and preparing cases. Conduct matters on behalf of Clients in line with their instructions. Management of support services, including supervision of Paralegals and Legal Secretaries. Financial control with particular regard to cashflow control through collection of monies on account and billing procedures. Providing regular updates to Client’s on matters. Dealing with any queries raised by Clients on particular matters. Submitting required documents to court prior to trial. Requirements: Legally qualified Ability to use case management systems High standard of computer literacy Must be adaptable and flexible Must have good time management and organisational skills Ability to demonstrate specialist knowledge about Private Client Law. Ability to work independently and as part of a team Company Core Values: Aspire: To challenge convention, an entrepreneur with energy for change. To be the best we can be. Innovate: To creatively evolve our working practices, use our revenue and resources in a virtuous cycle of improving our people, systems and growth. Integrate: Bring together people and systems into a cohesive force. Commit: To work with integrity and invest in long term relationships, creating a strong market position and delivering sustained commercial advantage."
"Martin Pooley Associates","Private Client Solicitor","London","https://uk.indeed.com/rc/clk?jk=9f28773ba800a8b5&bb=OqMEzja4PbfPkso8ec8h8ROrI7yeCk-d2x6XXHn2fl1P_3vevo3_fBdSX4VMvB4cLm_75wEfo7Q03g9_cSchCjKXdbY2uV9YVL7D67GC9iEoA_GhV8LnHuLjWFj-I7HD&xkcb=SoAI67M37mVDt3WXYx0NbzkdCdPP&fccid=bdab2914b27f9493&vjs=3","Job Reference: 4202 Date Posted: 1 October 2024 Recruiter: Martin Pooley Associates Location: London Remote Working: Some remote working possible Salary: On Application Sector: Family & Childcare Job Type: Permanent Work Hours: Full Time Contact: Martin Pooley Email: martin@martinpooley.co.uk Job Description Private Client Lawyer - London An exciting opportunity has arisen for an experienced Private Client Lawyer with a proven track record to join a highly successful Private Client team. STEP qualified Solicitors would be very much welcomed, but full membership is not essential. This is a varied role dealing with all aspects of Private Client matters, including Wills, Tax Planning, Trusts and Probate work."
"Banner Jones Solicitors","Senior Private Client Solicitor or Legal Executive - Sheffield","Sheffield","https://uk.indeed.com/rc/clk?jk=181ac8300f950e71&bb=OqMEzja4PbfPkso8ec8h8W5fyvYPQr-dBiJ7jTxPajPcTvIuihmLDdpMI_y5ed4GvDiQULlmVlr_qdLHC6T2ki-rOpXrlMCyTtuBs5EJs6rV8BNOmDcG0mUSX4ZWj_ih&xkcb=SoC867M37mVDt3WXYx0MbzkdCdPP&fccid=b0fbb1b89a158f77&vjs=3","Join the highly-regarded Private Client team at our award-winning law firm Are you an exceptional private client solicitor or legal executive with 5+ years of experience and looking to take your next step on the career ladder? Looking to be part of a supportive and collaborative team that nurtures your ambitions and career progression at a time of expansion and growth? The Opportunity We're seeking a talented Senior Private Client Solicitor or Legal Executive to lead a small Private Client team in our expanding Sheffield office. In this crucial role, you'll utilize your outstanding legal expertise to advise on a broad spectrum of private client matters, including probate, inheritance tax planning, Lasting Powers of Attorney, and will drafting while heading up a small team. Your team will strategise and evaluate solutions for complex legal issues, manage client relationships and case outcomes, and communicate complex legal matters into a commercially astute and understandable format. We continue to attract new clients but are proud of our long history of supporting families and individuals, trustees, accountants, independent financial advisors and other professionals. There will also be an opportunity to get involved in matters relating to Court of Protection cases and Trusts. In addition, our considerable investment in quality IT systems and software has led to improved efficiencies throughout the business. As a mentor and communicator, you'll foster a collaborative environment, sharing your knowledge with colleagues while articulating complex concepts with clarity. Your exceptional client care skills, business acumen, and passion for your work will be invaluable assets. Be part of a highly-regarded law firm providing wider services to private clients including property, litigation, commercial and corporate work. A firm whose mission is to make a difference by working consistently in the provision of first-class legal services by: Making a meaningful, valuable and significant contribution to our clients Supporting and developing our people Giving back to local communities The Ideal Candidate You are a seasoned professional with 5+ years of private client experience, a proven track record in business development, and a history of strong billing performance. You are ready for career progression and looking to build and lead your own team. Your organizational skills, attention to detail, and ability to thrive under pressure are second to none. Running legal matters in an organised and efficient manner is essential, ensuring client document, advice history and time recording/billing processes are undertaken and recorded in accordance with firm procedures. With excellent communication abilities, both written and verbal, you excel at building lasting relationships with clients from all walks of life, including high-net-worth individuals. Your IT proficiency, particularly in Microsoft Office Suite, enables you to work efficiently and effectively. A full driving licence/own transport is essential as there may be an element of travelling to various locations to attend clients, professionals and company offices. Step membership will be advantageous. The Rewards In addition to a competitive salary befitting your qualifications and experience, you'll join a supportive and collaborative firm that nurtures talent and is passionate about the wellbeing of its staff enabling you to thrive. Our award-winning firm offers a platform for you to truly shine, backed by an excellent reputation and an established, successful team. Don't miss this exceptional opportunity to elevate your career to new heights. Apply now and become a pivotal part of our continued growth and success. Extended Closing Date: Friday 11th October 2024 We are an equal opportunities employer If you wish to apply for this position https://www.bannerjones.co.uk/pages/how-to-apply Please note, closing dates on vacancies are provided as a guideline. Banner Jones Ltd reserves the right to close a vacancy earlier than the stated closing date. If there are high volumes of applications received for the position, we may not be able to respond to candidates who have been unsuccessful. If you do not hear back from the Company within three weeks of the closing date then please take this as confirmation that your application has been unsuccessful and thank you for your interest in Banner Jones Ltd."
"Woodfines LLP","Private Client Solicitor","Cambridge CB24 9ZR","https://uk.indeed.com/rc/clk?jk=212f1d066f7ad6c8&bb=OqMEzja4PbfPkso8ec8h8XJzZsk1tMg7osIUpubzCLWm6AHoiGrynIWh_xg7JV7nd03pcMixmkJlCCwwIGX0Yst7gkbuYl2B27lYSjoFKzj8ZpVwd1U-KxQRsWXONvch&xkcb=SoBV67M37mVDt3WXYx0DbzkdCdPP&fccid=d1983901d183a040&vjs=3","Job Advert Fancy a change? Looking for a new challenge? Or just having a browse? Whatever brings you here, you may as well see what Woodfines has to offer! We are looking for a Solicitor to join our Private Client team based in Cambridge. If you are competent in managing your own workload, knowledgeable in all areas of Private Client work and keen to expand your knowledge by utilising the expertise of your fellow colleagues, this role could be exactly what you’re looking for! At Woodfines, we put YOU first, we pride ourselves on our friendly, approachable attitude towards our staff and clients. We offer competitive salaries, flexible working and genuine progression opportunities, supporting you to achieve your goals, whilst maintaining a great work/life balance. If you share our vision for delivering excellent service to our clients, whilst progressing your own personal development, in a welcoming and supportive environment, then we would love to welcome you into our firm. What will your responsibilities be? Preparing Wills for mid to HNW clients; Preparing Lasting Powers of Attorney for mid to HNW clients; Dealing with the administration of taxable and non-taxable estates; Preparing Trust documentation to include drafting settlements and subsequent resolutions and deeds necessary to administer settlements Attending networking events to build firm reputation and develop professional connections of the firm Does your previous experience include: 2-5 years PQE Court of Protection experience (desirable) Do you have the following personal skills? Excellent attention to detail, organisational and communication skills Great time management skills Self-motivated, outgoing and proactive Professional and works well both independently and in a team Calm under pressure What can we offer you? You will be working within a supportive and collaborative team, who encourage your continued professional development. In addition to this we also offer the following benefits: Pay. We value our employees, our salaries reflect this. Bonus. We recognise and reward for all of your hard work. Holidays. Mexico? Paris? Or just staying home? Use your 26 days holiday (plus bank holidays) however you like! Flexibility. What does work/life balance look like to you? We are open to your suggestions. Birthday Off & Voucher. No one wants to work on their birthday. Take the day off and go shopping! Pension. To help out your future self. Life insurance. Support for your loved ones, just in case. Income protection. If you get sick, we guarantee a % of your salary for up to 2 years. Vitality health insurance. We support you to be your happy and healthy self! (Free coffees, cinema tickets or even an Apple Watch are also a nice touch). Medicash healthcare cash plan. We all hate the dentist, at least you don’t have to pay for it. That amongst many other everyday healthcare needs, all covered. Wellbeing support. We’re passionate about wellbeing, including Calm premium, 24/7 employee helpline and general lifestyle assistance."
"Shakespeare Martineau","Solicitor - Private Client","Hybrid work in Birmingham","https://uk.indeed.com/rc/clk?jk=2af92f8fd1fca204&bb=OqMEzja4PbfPkso8ec8h8U3gbAeCegF5ShHPQfckmlQGwjzJpASZnYq7be0xQHlG0Qdvhr4mpsUQRHtJD5ygpqKCAhX__UG3BXd3EH16bobrZFyG7y0Um1gqA0xg57Kc&xkcb=SoDh67M37mVDt3WXYx0CbzkdCdPP&fccid=da9c0476ca1a42c4&vjs=3","Are you a Solicitor specialising in Private Client looking for a new opportunity in the West Midlands? Please read on... Our Legal 500 top-tier Private Client team are looking for an enthusiastic and motivated Solicitor (c.3-5 years PQE) to join them. As a Solicitor within this STEP Platinum accredited team, you will offer high-quality legal services to clients on all aspects of wills, trusts, and probate work. You will already have strong client and file management skills and sound technical knowledge and will be looking to take on a new challenge in an ambitious but approachable and supportive team. What you will be doing: Drafting and advising on both basic and more complex trusts, whether created by will or by lifetime gift, including reviewing existing trusts and will structures. Administering estates and trusts ranging in levels of complexity. Completing IHT 100 and 400 forms competently and confidently. Providing advice to clients on all aspects of estate administration. Provide advice in respect of all capital taxes (and income tax in estates and trusts). Producing accounts for estate and trusts. Drafting and filing income tax returns for estates and trusts. Promoting the private client practice with clients and contacts Running a personal business development plan, driving business development within the team and supporting other teams with business development and selling. Carrying out legal research. Drafting and registering Lasting Powers of Attorney. Registering Enduring Powers of Attorney. Drafting documentation for trusts, including declarations of trust, trustees minutes and deeds of appointment and retirement. Drafting wills. Running management of affairs files where a partner or our Trust Corporation is appointed Attorney or Deputy. Completing applications to the Court of Protection to include the appointment of deputies. Introducing new clients from own marketing efforts and combining with other team members in marketing efforts. What you will need: A solid background in a wide range of Private Client work, with a particular interest or experience in trusts, tax, or acting for business owners. A desire to learn and expand technical knowledge, with the tenacity and drive to seek to give high-quality advice to clients on complex and simple matters alike. Exceptional client service skills, a caring attitude with a desire to take your responsibilities to our clients seriously, carrying out your role with a high standard of honesty and integrity. A personable, approachable demeanour and with a genuine interest in dealing with individuals and their families and building long-term relationships with clients. A desire work as part of a team, helping others progress and achieve goals and sharing knowledge. Experience of running your own client meetings with confidence. Experience of preparing estate and trust accounts and tax returns (a competent working knowledge of Excel), with a good level of numeracy. Good team working across the Private Client team and other disciplines. Excellent interpersonal and communication skills, being able to adapt your style to communicate effectively with a wide range of clients and fellow professionals. A high degree of initiative and the ability to cope in a demanding environment. A desire to enhance client relationships through day-to-day activity. Excellent organisational and time management skills. The ability to manage your own files effectively, take responsibility for the progression of client matters and quality of service. Experience of providing costs estimates for work and of manging billing, costs reviews and driving cash collection with clients. Benefits, Agile Working and Additional information We embrace agile working and offer a blended approach to where and how we work. We appreciate that people have different needs and preferences and we’re keen to be flexible, after all, we value what you do, not where you do it. We have hubs in Birmingham, Bristol, Edinburgh, Leicester, London, Milton Keynes, Nottingham, Solihull, Southampton, Stratford-upon-Avon, Lincoln and Sheffield. Want to find out more about our amazing benefits? Additional information: Please be aware, for some vacancies, where we receive high numbers of applications we may need to bring the close date forward. Due to the nature of the work undertaken, confirmation of employment will be subject to a variety of checks which will be carried out once an offer of employment is accepted. Details of the checks can be found. Equal opportunities Shakespeare Martineau is a committed equal opportunities employer. We seek to attract, develop and retain talented people from a diverse range of backgrounds and cultures. We value and respect individuality and encourage a culture within our business where people can be themselves and be valued for their strengths and experiences. Everyone who either applies to or works for the firm is treated equally, regardless of their gender, age, ethnic origin, nationality, marital status, sexual orientation or religious beliefs. About Shakespeare Martineau Welcome to Shakespeare Martineau, where we're more than just a full-service law firm. With over 1100 specialists, including lawyers and business support professionals, we're committed to unlocking potential in our people and clients, inspiring confidence, growth, and development. Our purpose is clear: we provide creative solutions and advice that help individuals and businesses achieve their commercial and personal goals. But what truly sets us apart is our focus on building lasting relationships and championing our clients, ensuring they receive the best possible business and personal advice. At Shakespeare Martineau, it's our people who make us special. We understand what our team members want and give them the support they need to succeed. Recognising everyone's contribution and harnessing the unique power of teams, we work together to achieve success. Diversity is at the heart of our firm. We actively build and develop diverse teams, bringing together different backgrounds, personalities, and perspectives to deliver amazing solutions for our clients. We believe in playing to our strengths, constantly striving to improve, and empowering our teams with individual responsibility for their own learning and growth. Join us at Shakespeare Martineau and become a valued member of a team where we unlock your potential, appreciate your contributions, and achieve success together. As part of Ampa, we are part of a large multi-brand group, all of our brands are linked by a shared purpose and set of values that brings about a positive, inclusive and diverse work culture - helping everyone achieve their ambitions. Employment Type Permanent - Full Time Location Birmingham Workplace type Hybrid"
